,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
501,1,15.9,0.74,9.9,0,0,0,2.17,0,1.2,0,0.3,28.5,1.35,0.06,0.12,0.28,0.02,0.01,0,0,0,0,4.2,3
502,,75.97,3.83,57.51,0,0,0,9.66,0,4.97,0.01,1.75,156.2,12.07,0.28,0.5,1.49,0.1,0.03,0,0,0,0,20.59,3
503,2.5,75.97,3.83,57.51,0,0,0,9.66,0,4.97,0.01,1.75,156.2,12.07,0.28,0.5,1.49,0.1,0.03,0,0,0,0,20.59,3
504,2.5,75.97,3.83,57.51,0,0,0,9.66,0,4.97,0.01,1.75,156.2,12.07,0.28,0.5,1.49,0.1,0.03,0,0,0,0,20.59,3
505,2.5,75.97,3.83,57.51,0,0,0,9.66,0,4.97,0.01,1.75,156.2,12.07,0.28,0.5,1.49,0.1,0.03,0,0,0,0,20.59,3
506,1,30.33,1.53,22.96,0,0,0,3.86,0,1.98,0,0.7,62.37,4.82,0.11,0.2,0.6,0.04,0.01,0,0,0,0,8.22,3
507,1,16.05,0.81,12.15,0,0,0,2.04,0,1.05,0,0.37,33,2.55,0.06,0.1,0.32,0.02,0.01,0,0,0,0,4.35,3
508,,133.48,10.22,340.09,1.06,0.14,0.99,10.37,7.81,51.83,0.01,0.72,75.26,9.94,0.26,0.28,1.21,0.07,0.03,0,0,0,0,55.38,3
509,2.5,133.48,10.22,340.09,1.06,0.14,0.99,10.37,7.81,51.83,0.01,0.72,75.26,9.94,0.26,0.28,1.21,0.07,0.03,0,0,0,0,55.38,3
510,,18.8,1.44,47.9,0.15,0.02,0.14,1.46,1.1,7.3,0,0.1,10.6,1.4,0.04,0.04,0.17,0.01,0,0,0,0,0,7.8,3
511,,105.79,6.82,36.21,0,0,0,10.44,28.4,39.05,0.01,0.72,86.62,7.81,0.28,1.21,1.06,0.13,0.03,0,0,0,0,41.89,3
512,2.5,105.79,6.82,36.21,0,0,0,10.44,28.4,39.05,0.01,0.72,86.62,7.81,0.28,1.21,1.06,0.13,0.03,0,0,0,0,41.89,3
513,2.5,105.79,6.82,36.21,0,0,0,10.44,28.4,39.05,0.01,0.72,86.62,7.81,0.28,1.21,1.06,0.13,0.03,0,0,0,0,41.89,3
514,1,42.24,2.72,14.46,0,0,0,4.17,11.34,15.59,0,0.29,34.59,3.12,0.11,0.48,0.43,0.05,0.01,0,0,0,0,16.73,3
515,1,22.35,1.44,7.65,0,0,0,2.2,6,8.25,0,0.15,18.3,1.65,0.06,0.26,0.22,0.03,0.01,0,0,0,0,8.85,3
516,,66.03,2.91,33.37,1.04,0,0,8.38,14.91,45.44,0.01,0.86,100.11,9.23,0.18,0.71,1.21,0.14,0.03,0,0,0,0,43.31,3
517,2.5,66.03,2.91,33.37,1.04,0,0,8.38,14.91,45.44,0.01,0.86,100.11,9.23,0.18,0.71,1.21,0.14,0.03,0,0,0,0,43.31,3
518,2.5,66.03,2.91,33.37,1.04,0,0,8.38,14.91,45.44,0.01,0.86,100.11,9.23,0.18,0.71,1.21,0.14,0.03,0,0,0,0,43.31,3
519,2.5,66.03,2.91,33.37,1.04,0,0,8.38,14.91,45.44,0.01,0.86,100.11,9.23,0.18,0.71,1.21,0.14,0.03,0,0,0,0,43.31,3
520,1,26.37,1.16,13.32,0.42,0,0,3.35,5.95,18.14,0,0.34,39.97,3.69,0.07,0.28,0.48,0.06,0.01,0,0,0,0,17.29,3
521,1,13.95,0.61,7.05,0.22,0,0,1.77,3.15,9.6,0,0.18,21.15,1.95,0.04,0.15,0.26,0.03,0.01,0,0,0,0,9.15,3
522,,88.75,4.76,47.57,0,0,0,10.72,22.72,3.55,0.1,1.21,149.1,7.81,0.28,0,1.49,0.14,0.05,0,0,0,0,20.59,3
523,1,35.44,1.9,18.99,0,0,0,4.28,9.07,1.42,0.04,0.48,59.54,3.12,0.11,0,0.6,0.06,0.02,0,0,0,0,8.22,3
524,,78.81,4.12,29.11,0,0,0,9.87,3.55,4.26,0.1,1.6,144.84,9.23,0.09,0,1.49,0.18,0.05,0,0,0,0,17.04,3
525,2.5,78.81,4.12,29.11,0,0,0,9.87,3.55,4.26,0.1,1.6,144.84,9.23,0.09,0,1.49,0.18,0.05,0,0,0,0,17.04,3
526,1,31.47,1.64,11.62,0,0,0,3.94,1.42,1.7,0.04,0.64,57.83,3.69,0.04,0,0.6,0.07,0.02,0,0,0,0,6.8,3
527,1,16.65,0.87,6.15,0,0,0,2.08,0.75,0.9,0.02,0.34,30.6,1.95,0.02,0,0.32,0.04,0.01,0,0,0,0,3.6,3
528,,79.52,3.69,51.83,0,0,0,10.79,19.17,4.97,0.01,1.85,149.81,7.1,0.28,0,1.21,0.13,0.04,0,0,0,0,26.98,3
529,1,31.75,1.47,20.7,0,0,0,4.31,7.65,1.98,0.01,0.74,59.82,2.84,0.11,0,0.48,0.05,0.02,0,0,0,0,10.77,3
530,,73.13,3.34,44.02,0.07,0,0,10.01,0,4.97,0.01,1.96,145.55,9.23,0.04,1.42,0.85,0.11,0.04,0,0,0,0,26.98,3
531,2.5,73.13,3.34,44.02,0.07,0,0,10.01,0,4.97,0.01,1.96,145.55,9.23,0.04,1.42,0.85,0.11,0.04,0,0,0,0,26.98,3
532,2.5,73.13,3.34,44.02,0.07,0,0,10.01,0,4.97,0.01,1.96,145.55,9.23,0.04,1.42,0.85,0.11,0.04,0,0,0,0,26.98,3
