,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
687,4,64.41,0.11,22.6,14.92,1.7,4.58,1.24,7274.94,18.08,0.03,0.24,297.19,14.69,0.59,1.58,11.19,0.11,0.09,4365.19,0,0,0,0,0
688,1,16.16,0.03,5.67,3.74,0.43,1.15,0.31,1825.17,4.54,0.01,0.06,74.56,3.69,0.15,0.4,2.81,0.03,0.02,1095.16,0,0,0,0,2
689,1,7.98,0.01,2.8,1.85,0.21,0.57,0.15,901.32,2.24,0,0.03,36.82,1.82,0.07,0.2,1.39,0.01,0.01,540.82,0,0,0,0,3
690,1,134.4,0.22,49.28,31.14,3.36,9.5,2.46,14864.64,35.84,0.06,0.25,544.32,26.88,1.16,3.36,21.5,0.25,0.22,8919.68,0,0,0,0,0
691,,102,0.17,37.4,23.63,2.55,7.21,1.87,11281.2,27.2,0.04,0.19,413.1,20.4,0.88,2.55,16.32,0.19,0.17,6769.4,0,0,0,0,0
692,6,102,0.17,37.4,23.63,2.55,7.21,1.87,11281.2,27.2,0.04,0.19,413.1,20.4,0.88,2.55,16.32,0.19,0.17,6769.4,0,0,0,0,0
693,6,102,0.17,37.4,23.63,2.55,7.21,1.87,11281.2,27.2,0.04,0.19,413.1,20.4,0.88,2.55,16.32,0.19,0.17,6769.4,0,0,0,0,0
694,6,102,0.17,37.4,23.63,2.55,7.21,1.87,11281.2,27.2,0.04,0.19,413.1,20.4,0.88,2.55,16.32,0.19,0.17,6769.4,0,0,0,0,0
695,1,17.01,0.03,6.24,3.94,0.43,1.2,0.31,1881.31,4.54,0.01,0.03,68.89,3.4,0.15,0.43,2.72,0.03,0.03,1128.9,0,0,0,0,2
696,1,8.4,0.01,3.08,1.95,0.21,0.59,0.15,929.04,2.24,0,0.02,34.02,1.68,0.07,0.21,1.34,0.02,0.01,557.48,0,0,0,0,3
